#
# @missing: 0000..10FFFF; O

0030..0039     ; N  # DIGIT ZERO..DIGIT NINE
0041..005A     ; N  # LATIN CAPITAL LETTER A..LATIN CAPITAL LETTER Z
0061..007A     ; N  # LATIN SMALL LETTER A..LATIN SMALL LETTER Z
00AA           ; N  # FEMININE ORDINAL INDICATOR
00B5           ; N  # MICRO SIGN
00BA           ; N  # MASCULINE ORDINAL INDICATOR
00C0..00D6     ; N  # LATIN CAPITAL LETTER A WITH GRAVE..LATIN CAPITAL LETTER O WITH DIAERESIS
00D8..00F6     ; N  # LATIN CAPITAL LETTER O WITH STROKE..LATIN SMALL LETTER O WITH DIAERESIS
00F8..02C1     ; N  # LATIN SMALL LETTER O WITH STROKE..MODIFIER LETTER REVERSED GLOTTAL STOP
02C6..02D1     ; N  # MODIFIER LETTER CIRCUMFLEX ACCENT..MODIFIER LETTER HALF TRIANGULAR COLON
02E0..02E4     ; N  # MODIFIER LETTER SMALL GAMMA..MODIFIER LETTER SMALL REVERSED GLOTTAL STOP
02EC           ; N  # MODIFIER LETTER VOICING
02EE           ; N  # MODIFIER LETTER DOUBLE APOSTROPHE
0300..0374     ; N  # COMBINING GRAVE ACCENT..GREEK NUMERAL SIGN
0376..0377     ; N  # GREEK CAPITAL LETTER PAMPHYLIAN DIGAMMA..GREEK SMALL LETTER PAMPHYLIAN DIGAMMA
037A..037D     ; N  # GREEK YPOGEGRAMMENI..GREEK SMALL REVERSED DOTTED LUNATE SIGMA SYMBOL
037F           ; N  # GREEK CAPITAL LETTER YOT
0386           ; N  # GREEK CAPITAL LETTER ALPHA WITH TONOS
0388..038A     ; N  # GREEK CAPITAL LETTER EPSILON WITH TONOS..GREEK CAPITAL LETTER IOTA WITH TONOS
038C           ; N  # GREEK CAPITAL LETTER OMICRON WITH TONOS
038E..03A1     ; N  # GREEK CAPITAL LETTER UPSILON WITH TONOS..GREEK CAPITAL LETTER RHO
03A3..03F5     ; N  # GREEK CAPITAL LETTER SIGMA..GREEK LUNATE EPSILON SYMBOL
03F7..0481     ; N  # GREEK CAPITAL LETTER SHO..CYRILLIC SMALL LETTER KOPPA
0483..052F     ; N  # COMBINING CYRILLIC TITLO..CYRILLIC SMALL LETTER EL WITH DESCENDER
0531..0556     ; N  # ARMENIAN CAPITAL LETTER AYB..ARMENIAN CAPITAL LETTER FEH
0559           ; N  # ARMENIAN MODIFIER LETTER LEFT HALF RING
0560..0588     ; N  # ARMENIAN SMALL LETTER TURNED AYB..ARMENIAN SMALL LETTER YI WITH STROKE
0591..05BD     ; N  # HEBREW ACCENT ETNAHTA..HEBREW POINT METEG
05BF           ; N  # HEBREW POINT RAFE
05C1..05C2     ; N  # HEBREW POINT SHIN DOT..HEBREW POINT SIN DOT
05C4..05C5     ; N  # HEBREW MARK UPPER DOT..HEBREW MARK LOWER DOT
05C7           ; N  # HEBREW POINT QAMATS QATAN
05D0..05EA     ; N  # HEBREW LETTER ALEF..HEBREW LETTER TAV
05EF..05F2     ; N  # HEBREW YOD TRIANGLE..HEBREW LIGATURE YIDDISH DOUBLE YOD
0610..061A     ; N  # ARABIC SIGN SALLALLAHOU ALAYHE WASSALLAM..ARABIC SMALL KASRA
0620..0669     ; N  # ARABIC LETTER KASHMIRI YEH..ARABIC-INDIC DIGIT NINE
066E..06D3     ; N  # ARABIC LETTER DOTLESS BEH..ARABIC LETTER YEH BARREE WITH HAMZA ABOVE
06D5..06DC     ; N  # ARABIC LETTER AE..ARABIC SMALL HIGH SEEN
06DF..06E8     ; N  # ARABIC SMALL HIGH ROUNDED ZERO..ARABIC SMALL HIGH NOON
06EA..06FC     ; N  # ARABIC EMPTY CENTRE LOW STOP..ARABIC LETTER GHAIN WITH DOT BELOW
06FF           ; N  # ARABIC LETTER HEH WITH INVERTED V
0710..074A     ; N  # SYRIAC LETTER ALAPH..SYRIAC BARREKH
074D..07B1     ; N  # SYRIAC LETTER SOGDIAN ZHAIN..THAANA LETTER NAA
07C0..07F5     ; N  # NKO DIGIT ZERO..NKO LOW TONE APOSTROPHE
07FA           ; N  # NKO LAJANYALAN
07FD           ; N  # NKO DANTAYALAN
0800..082D     ; N  # SAMARITAN LETTER ALAF..SAMARITAN MARK NEQUDAA
0840..085B     ; N  # MANDAIC LETTER HALQA..MANDAIC GEMINATION MARK
0860..086A     ; N  # SYRIAC LETTER MALAYALAM NGA..SYRIAC LETTER MALAYALAM SSA
08A0..08B4     ; N  # ARABIC LETTER BEH WITH SMALL V BELOW..ARABIC LETTER KAF WITH DOT BELOW
08B6..08C7     ; N  # ARABIC LETTER BEH WITH SMALL MEEM ABOVE..ARABIC LETTER LAM WITH SMALL ARABIC LETTER TAH ABOVE
08D3..08E1     ; N  # ARABIC SMALL LOW WAW..ARABIC SMALL HIGH SIGN SAFHA
08E3..0963     ; N  # ARABIC TURNED DAMMA BELOW..DEVANAGARI VOWEL SIGN VOCALIC LL
0966..096F     ; N  # DEVANAGARI DIGIT ZERO..DEVANAGARI DIGIT NINE
0971..0983     ; N  # DEVANAGARI SIGN HIGH SPACING DOT..BENGALI SIGN VISARGA
0985..098C     ; N  # BENGALI LETTER A..BENGALI LETTER VOCALIC L
098F..0990     ; N  # BENGALI LETTER E..BENGALI LETTER AI
0993..09A8     ; N  # BENGALI LETTER O..BENGALI LETTER NA
09AA..09B0     ; N  # BENGALI LETTER PA..BENGALI LETTER RA
09B2           ; N  # BENGALI LETTER LA
09B6..09B9     ; N  # BENGALI LETTER SHA..BENGALI LETTER HA
09BC..09C4     ; N  # BENGALI SIGN NUKTA..BENGALI VOWEL SIGN VOCALIC RR
09C7..09C8     ; N  # BENGALI VOWEL SIGN E..BENGALI VOWEL SIGN AI
09CB..09CE     ; N  # BENGALI VOWEL SIGN O..BENGALI LETTER KHANDA TA
09D7           ; N  # BENGALI AU LENGTH MARK
09DC..09DD     ; N  # BENGALI LETTER RRA..BENGALI LETTER RHA
09DF..09E3     ; N  # BENGALI LETTER YYA..BENGALI VOWEL SIGN VOCALIC LL
09E6..09F1     ; N  # BENGALI DIGIT ZERO..BENGALI LETTER RA WITH LOWER DIAGONAL
09FC           ; N  # BENGALI LETTER VEDIC ANUSVARA
09FE           ; N  # BENGALI SANDHI MARK
0A01..0A03     ; N  # GURMUKHI SIGN ADAK BINDI..GURMUKHI SIGN VISARGA
0A05..0A0A     ; N  # GURMUKHI LETTER A..GURMUKHI LETTER UU
0A0F..0A10     ; N  # GURMUKHI LETTER EE..GURMUKHI LETTER AI
0A13..0A28     ; N  # GURMUKHI LETTER OO..GURMUKHI LETTER NA
0A2A..0A30     ; N  # GURMUKHI LETTER PA..GURMUKHI LETTER RA
0A32..0A33     ; N  # GURMUKHI LETTER LA..GURMUKHI LETTER LLA
0A35..0A36     ; N  # GURMUKHI LETTER VA..GURMUKHI LETTER SHA
0A38..0A39     ; N  # GURMUKHI LETTER SA..GURMUKHI LETTER HA
0A3C           ; N  # GURMUKHI SIGN NUKTA
0A3E..0A42     ; N  # GURMUKHI VOWEL SIGN AA..GURMUKHI VOWEL SIGN UU
0A47..0A48     ; N  # GURMUKHI VOWEL SIGN EE..GURMUKHI VOWEL SIGN AI
0A4B..0A4D     ; N  # GURMUKHI VOWEL SIGN OO..GURMUKHI SIGN VIRAMA
0A51           ; N  # GURMUKHI SIGN UDAAT
0A59..0A5C     ; N  # GURMUKHI LETTER KHHA..GURMUKHI LETTER RRA
