#
# The comments following the number sign "#" list the East_Asian_Width property
# value, followed by the Unicode character name or names.
#
# Code points that have the value O and the East_Asian_Width property value N or
# Na are omitted.
#
# @missing: 0000..10FFFF; O

0030..0039     ; N  # Na  DIGIT ZERO..DIGIT NINE
0041..005A     ; N  # Na  LATIN CAPITAL LETTER A..LATIN CAPITAL LETTER Z
0061..007A     ; N  # Na  LATIN SMALL LETTER A..LATIN SMALL LETTER Z
00A1           ; O  # A   INVERTED EXCLAMATION MARK
00A4           ; O  # A   CURRENCY SIGN
00A7..00A8     ; O  # A   SECTION SIGN..DIAERESIS
00AA           ; N  # A   FEMININE ORDINAL INDICATOR
00AD..00AE     ; O  # A   SOFT HYPHEN..REGISTERED SIGN
00B0..00B4     ; O  # A   DEGREE SIGN..ACUTE ACCENT
00B5           ; N  # N   MICRO SIGN
00B6..00B9     ; O  # A   PILCROW SIGN..SUPERSCRIPT ONE
00BA           ; N  # A   MASCULINE ORDINAL INDICATOR
00BC..00BF     ; O  # A   VULGAR FRACTION ONE QUARTER..INVERTED QUESTION MARK
00C0..00C5     ; N  # N   LATIN CAPITAL LETTER A WITH GRAVE..LATIN CAPITAL LETTER A WITH RING ABOVE
00C6           ; N  # A   LATIN CAPITAL LETTER AE
00C7..00CF     ; N  # N   LATIN CAPITAL LETTER C WITH CEDILLA..LATIN CAPITAL LETTER I WITH DIAERESIS
00D0           ; N  # A   LATIN CAPITAL LETTER ETH
00D1..00D6     ; N  # N   LATIN CAPITAL LETTER N WITH TILDE..LATIN CAPITAL LETTER O WITH DIAERESIS
00D7           ; O  # A   MULTIPLICATION SIGN
00D8           ; N  # A   LATIN CAPITAL LETTER O WITH STROKE
00D9..00DD     ; N  # N   LATIN CAPITAL LETTER U WITH GRAVE..LATIN CAPITAL LETTER Y WITH ACUTE
00DE..00E1     ; N  # A   LATIN CAPITAL LETTER THORN..LATIN SMALL LETTER A WITH ACUTE
00E2..00E5     ; N  # N   LATIN SMALL LETTER A WITH CIRCUMFLEX..LATIN SMALL LETTER A WITH RING ABOVE
00E6           ; N  # A   LATIN SMALL LETTER AE
00E7           ; N  # N   LATIN SMALL LETTER C WITH CEDILLA
00E8..00EA     ; N  # A   LATIN SMALL LETTER E WITH GRAVE..LATIN SMALL LETTER E WITH CIRCUMFLEX
00EB           ; N  # N   LATIN SMALL LETTER E WITH DIAERESIS
00EC..00ED     ; N  # A   LATIN SMALL LETTER I WITH GRAVE..LATIN SMALL LETTER I WITH ACUTE
00EE..00EF     ; N  # N   LATIN SMALL LETTER I WITH CIRCUMFLEX..LATIN SMALL LETTER I WITH DIAERESIS
00F0           ; N  # A   LATIN SMALL LETTER ETH
00F1           ; N  # N   LATIN SMALL LETTER N WITH TILDE
00F2..00F3     ; N  # A   LATIN SMALL LETTER O WITH GRAVE..LATIN SMALL LETTER O WITH ACUTE
00F4..00F6     ; N  # N   LATIN SMALL LETTER O WITH CIRCUMFLEX..LATIN SMALL LETTER O WITH DIAERESIS
00F7           ; O  # A   DIVISION SIGN
00F8..00FA     ; N  # A   LATIN SMALL LETTER O WITH STROKE..LATIN SMALL LETTER U WITH ACUTE
00FB           ; N  # N   LATIN SMALL LETTER U WITH CIRCUMFLEX
00FC           ; N  # A   LATIN SMALL LETTER U WITH DIAERESIS
00FD           ; N  # N   LATIN SMALL LETTER Y WITH ACUTE
00FE           ; N  # A   LATIN SMALL LETTER THORN
00FF..0100     ; N  # N   LATIN SMALL LETTER Y WITH DIAERESIS..LATIN CAPITAL LETTER A WITH MACRON
0101           ; N  # A   LATIN SMALL LETTER A WITH MACRON
0102..0110     ; N  # N   LATIN CAPITAL LETTER A WITH BREVE..LATIN CAPITAL LETTER D WITH STROKE
0111           ; N  # A   LATIN SMALL LETTER D WITH STROKE
0112           ; N  # N   LATIN CAPITAL LETTER E WITH MACRON
0113           ; N  # A   LATIN SMALL LETTER E WITH MACRON
0114..011A     ; N  # N   LATIN CAPITAL LETTER E WITH BREVE..LATIN CAPITAL LETTER E WITH CARON
011B           ; N  # A   LATIN SMALL LETTER E WITH CARON
011C..0125     ; N  # N   LATIN CAPITAL LETTER G WITH CIRCUMFLEX..LATIN SMALL LETTER H WITH CIRCUMFLEX
0126..0127     ; N  # A   LATIN CAPITAL LETTER H WITH STROKE..LATIN SMALL LETTER H WITH STROKE
0128..012A     ; N  # N   LATIN CAPITAL LETTER I WITH TILDE..LATIN CAPITAL LETTER I WITH MACRON
012B           ; N  # A   LATIN SMALL LETTER I WITH MACRON
012C..0130     ; N  # N   LATIN CAPITAL LETTER I WITH BREVE..LATIN CAPITAL LETTER I WITH DOT ABOVE
0131..0133     ; N  # A   LATIN SMALL LETTER DOTLESS I..LATIN SMALL LIGATURE IJ
0134..0137     ; N  # N   LATIN CAPITAL LETTER J WITH CIRCUMFLEX..LATIN SMALL LETTER K WITH CEDILLA
0138           ; N  # A   LATIN SMALL LETTER KRA
0139..013E     ; N  # N   LATIN CAPITAL LETTER L WITH ACUTE..LATIN SMALL LETTER L WITH CARON
013F..0142     ; N  # A   LATIN CAPITAL LETTER L WITH MIDDLE DOT..LATIN SMALL LETTER L WITH STROKE
0143           ; N  # N   LATIN CAPITAL LETTER N WITH ACUTE
0144           ; N  # A   LATIN SMALL LETTER N WITH ACUTE
0145..0147     ; N  # N   LATIN CAPITAL LETTER N WITH CEDILLA..LATIN CAPITAL LETTER N WITH CARON
0148..014B     ; N  # A   LATIN SMALL LETTER N WITH CARON..LATIN SMALL LETTER ENG
014C           ; N  # N   LATIN CAPITAL LETTER O WITH MACRON
014D           ; N  # A   LATIN SMALL LETTER O WITH MACRON
014E..0151     ; N  # N   LATIN CAPITAL LETTER O WITH BREVE..LATIN SMALL LETTER O WITH DOUBLE ACUTE
0152..0153     ; N  # A   LATIN CAPITAL LIGATURE OE..LATIN SMALL LIGATURE OE
0154..0165     ; N  # N   LATIN CAPITAL LETTER R WITH ACUTE..LATIN SMALL LETTER T WITH CARON
0166..0167     ; N  # A   LATIN CAPITAL LETTER T WITH STROKE..LATIN SMALL LETTER T WITH STROKE
0168..016A     ; N  # N   LATIN CAPITAL LETTER U WITH TILDE..LATIN CAPITAL LETTER U WITH MACRON
016B           ; N  # A   LATIN SMALL LETTER U WITH MACRON
016C..01CD     ; N  # N   LATIN CAPITAL LETTER U WITH BREVE..LATIN CAPITAL LETTER A WITH CARON
01CE           ; N  # A   LATIN SMALL LETTER A WITH CARON
01CF           ; N  # N   LATIN CAPITAL LETTER I WITH CARON
01D0           ; N  # A   LATIN SMALL LETTER I WITH CARON
01D1           ; N  # N   LATIN CAPITAL LETTER O WITH CARON
01D2           ; N  # A   LATIN SMALL LETTER O WITH CARON
01D3           ; N  # N   LATIN CAPITAL LETTER U WITH CARON
01D4           ; N  # A   LATIN SMALL LETTER U WITH CARON
01D5           ; N  # N   LATIN CAPITAL LETTER U WITH DIAERESIS AND MACRON
01D6           ; N  # A   LATIN SMALL LETTER U WITH DIAERESIS AND MACRON
01D7           ; N  # N   LATIN CAPITAL LETTER U WITH DIAERESIS AND ACUTE
01D8           ; N  # A   LATIN SMALL LETTER U WITH DIAERESIS AND ACUTE
01D9           ; N  # N   LATIN CAPITAL LETTER U WITH DIAERESIS AND CARON
01DA           ; N  # A   LATIN SMALL LETTER U WITH DIAERESIS AND CARON
01DB           ; N  # N   LATIN CAPITAL LETTER U WITH DIAERESIS AND GRAVE
01DC           ; N  # A   LATIN SMALL LETTER U WITH DIAERESIS AND GRAVE
01DD..0250     ; N  # N   LATIN SMALL LETTER TURNED E..LATIN SMALL LETTER TURNED A
0251           ; N  # A   LATIN SMALL LETTER ALPHA
0252..0260     ; N  # N   LATIN SMALL LETTER TURNED ALPHA..LATIN SMALL LETTER G WITH HOOK
0261           ; N  # A   LATIN SMALL LETTER SCRIPT G
0262..02C1     ; N  # N   LATIN LETTER SMALL CAPITAL G..MODIFIER LETTER REVERSED GLOTTAL STOP
02C4           ; O  # A   MODIFIER LETTER UP ARROWHEAD
02C6           ; N  # N   MODIFIER LETTER CIRCUMFLEX ACCENT
02C7           ; N  # A   CARON
02C8           ; N  # N   MODIFIER LETTER VERTICAL LINE
02C9..02CB     ; N  # A   MODIFIER LETTER MACRON..MODIFIER LETTER GRAVE ACCENT
02CC           ; N  # N   MODIFIER LETTER LOW VERTICAL LINE
02CD           ; N  # A   MODIFIER LETTER LOW MACRON
